DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,117500,Coll. intern. Marie de France,Collège international Marie de France,"4635, chemin Queen Mary ",,66023,Montréal,V,H3W1W3,Établissement d'enseignement privé,Privé,https://www.cimf.ca,-73.625122,45.490252,514 737-1177
,118500,Collège Marie-de-l'Incarnation,Collège Marie-de-l'Incarnation,"725, rue Hart",,37067,Trois-Rivières,V,G9A4R9,Établissement d'enseignement privé,Privé,https://www.cmitr.qc.ca,-72.536931,46.345572,819 379-3223
,119500,Mont Notre-Dame,Mont Notre-Dame,"114, rue de la Cathédrale ",,43027,Sherbrooke,V,J1H4M1,Établissement d'enseignement privé,Privé,https://www.lemont.ca,-71.891976,45.401568,819 563-4104
,123500,Collège Mont-Sacré-Coeur,Collège Mont-Sacré-Coeur,"210, rue Denison Est",,47017,Granby,V,J2H2R6,Établissement d'enseignement privé,Privé,https://www.college-msc.qc.ca/,-72.705486,45.390826,450 372-6882
,124500,Coll. Mont-Royal,Collège Mont-Royal,"2165, rue Baldwin ",,66023,Montréal,V,H1L5A7,Établissement d'enseignement privé,Privé,https://www.collegemont-royal.qc.ca,-73.515967,45.599066,514 351-7851
,125500,Collège Mont-Saint-Louis,Collège Mont-Saint-Louis,"1700, boulevard Henri-Bourassa Est",,66023,Montréal,V,H2C1J3,Établissement d'enseignement privé,Privé,https://www.msl.qc.ca,-73.658658,45.568714,514 382-1560
,126500,Collège Notre-Dame,Collège Notre-Dame,"3791, chemin Queen-Mary ",,66023,Montréal,V,H3V1A8,Établissement d'enseignement privé,Privé,https://www.collegenotredame.com,-73.622487,45.493279,514 739-3371
,127500,Collège Notre-Dame-de-l'Assomption,Collège Notre-Dame-de-l'Assomption,"225, rue Saint-Jean-Baptiste",,50072,Nicolet,V,J3T0A2,Établissement d'enseignement privé,Privé,https://www.cnda.qc.ca,-72.621719,46.228627,819 293-4500
,128500,Collège Notre-Dame-de-Lourdes,Collège Notre-Dame-de-Lourdes,"845, chemin Tiffin ",,58227,Longueuil,V,J4P3G5,Établissement d'enseignement privé,Privé,https://www.ndl.qc.ca,-73.512326,45.51521,450 670-4740
,136500,Collège Prep International,Collège Prep International,"7475, rue Sherbrooke Ouest ",,66023,Montréal,V,H4B1S3,Établissement d'enseignement privé,Privé,https://www.prepinternational.com,-73.64254,45.454283,514 489-7287
,138500,Collège Citoyen,Collège Citoyen,"4001, boulevard Sainte-Rose",,65005,Laval,V,H7R1W6,Établissement d'enseignement privé,Privé,https://www.collegecitoyen.ca,-73.831187,45.572044,450 254-2447
,139500,Collège Regina Assumpta,Collège Regina Assumpta,"1750, rue Sauriol Est ",,66023,Montréal,V,H2C1X4,Établissement d'enseignement privé,Privé,https://www.reginaassumpta.qc.ca,-73.650152,45.565297,514 382-4121
,144500,Collège Rivier,Collège Rivier,"343, rue Saint-Jacques Nord ",,44037,Coaticook,V,J1A2R2,Établissement d'enseignement privé,Privé,https://www.collegerivier.com,-71.796105,45.137964,819 849-4833
,145500,Collège Saint-Alexandre,Collège Saint-Alexandre de la Gatineau,"2425, rue Saint-Louis",,81017,Gatineau,V,J8V1E7,Établissement d'enseignement privé,Privé,https://st-alex.ca,-75.750599,45.493558,819 561-3812
,147500,Collège Saint-Bernard,Collège Saint-Bernard,"25, avenue des Frères",,49058,Drummondville,V,J2B6A2,Établissement d'enseignement privé,Privé,https://www.csb.qc.ca,-72.475889,45.88204,819 478-3330
,148500,Coll. Saint-Charles-Garnier,Collège Saint-Charles-Garnier,"1150, boul René Lévesque Ouest ",,23027,Québec,V,G1S1V7,Établissement d'enseignement privé,Privé,https://www.collegegarnier.qc.ca,-71.245563,46.795244,418 681-0107
,149500,Collège Saint-Hilaire,Collège Saint-Hilaire,"800, rue Rouillard",,57035,Mont-Saint-Hilaire,V,J3H0K4,Établissement d'enseignement privé,Privé,https://csh.qc.ca,-73.157676,45.568601,450 467-7001
,157500,Collège St-Jean-Vianney,Collège St-Jean-Vianney,"12630, boulevard Gouin Est",,66023,Montréal,V,H1C1B9,Établissement d'enseignement privé,Privé,https://www.csjv.ca,-73.51985,45.691773,514 648-3821
